A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
2,78,27,89,2,64,12,59,25,88,20,12,100,89,67,47,96,19,14,49,60,9,69,5,54,28,41,36,100,26,71,99,41,78,30,26,97,27,68,8,19,35,23,64,63,25,59,22,3,93,67,3,70,88,48,76,30,69,67,92,4,0,70,69,17,89,69,4,96,37,18,42,69,64,54,25,55,25,45,1,55,86,72,6,32,9,58,35,57,31,10,71,71,39,63,97,18,54,43,8,53,34,62,99,68,25,50,12,66,84,46,8,60,12,84,4,66,82,96,69,47,85,97,16,25,83,16,3,35,51,16,45,42,39,36,14,41,56,74,14,28,48,35,24,65,32,2,66,89,78,81,57,92,22,7,77,22,89,5,90,7,69,50,32,14,45,10,1,54,42,36,29,35,83,77,52,29,39,14,41,83,47,56,37,28,92,39,83,80,87,6,72,74,48,40,91,61,23,48,9
11,66,88,60,48,19,48,32,32,86,69,89,86,73,54,13,85,85,40,32,59,66,84,99,15,45,7,35,21,75,83,17,65,65,34,37,21,22,38,19,61,87,71,48,13,15,85,47,5,14,95,90,33,98,15,59,63,32,70,72,32,25,0,92,87,94,57,56,49,18,26,6,28,4,56,34,52,67,75,28,70,77,43,52,83,54,54,85,94,89,97,57,13,75,69,87,92,55,19,69,13,77,58,89,49,7,92,90,92,3,73,61,2,59,62,44,44,37,77,77,81,30,7,95,59,64,69,10,78,57,19,21,48,69,100,96,4,6,44,68,18,77,5,92,13,6,95,23,39,81,87,25,3,90,17,23,42,8,64,76,48,59,45,74,49,12,81,50,79,60,17,67,37,63,54,20,74,75,34,58,92,27,30,78,93,51,33,70,81,86,45,31,13,84,4,31,59,96,99,28
32,50,54,91,50,93,94,34,69,93,64,59,82,16,49,76,62,28,80,41,76,38,82,63,49,9,14,5,62,87,67,18,52,55,92,6,60,65,77,7,43,55,2,58,28,30,32,62,59,100,11,4,84,2,12,30,83,4,65,50,72,8,54,0,21,86,74,97,72,22,14,64,75,81,78,52,1,17,67,66,67,11,15,36,59,79,92,95,34,16,47,66,16,83,94,19,97,62,26,51,76,47,25,39,64,94,100,100,43,43,40,7,7,68,17,98,98,74,80,15,67,61,94,41,16,22,66,40,77,13,63,77,74,56,81,68,11,82,69,68,63,13,27,49,33,1,87,22,72,95,83,73,82,100,20,96,90,49,16,65,38,14,47,87,14,40,93,75,80,95,85,81,90,24,54,46,36,65,62,17,5,87,34,100,30,79,44,38,2,73,17,23,65,84,97,64,5,6,96,68
14,43,89,53,60,95,66,16,79,41,31,12,18,1,2,53,32,29,98,37,19,19,17,47,90,80,64,94,77,67,17,92,30,26,12,25,69,1,43,36,64,15,89,10,7,18,1,21,13,47,31,49,86,83,51,28,17,19,24,87,25,8,5,32,0,92,16,80,34,21,68,70,48,25,74,28,87,91,66,3,37,31,24,46,83,34,71,26,16,17,8,78,61,68,57,52,8,70,23,97,91,42,14,31,39,54,50,63,45,8,49,35,62,90,72,12,53,43,35,20,89,47,71,49,70,67,24,38,2,98,34,54,9,76,12,11,43,86,55,41,63,16,15,82,17,7,70,78,43,74,78,90,8,42,42,89,77,40,24,46,88,29,98,29,27,3,76,43,40,60,82,62,11,3,8,50,98,5,38,82,88,34,61,28,85,86,36,64,90,16,27,48,3,49,51,3,64,67,52,50
76,96,77,74,70,35,91,93,85,24,32,24,86,94,75,94,13,21,62,13,62,1,31,88,60,45,42,33,84,78,97,35,67,18,25,96,64,65,76,81,85,29,14,29,86,31,19,59,40,87,79,76,68,87,17,20,70,16,83,9,48,94,98,68,80,0,23,3,50,83,61,48,86,34,87,26,2,31,42,15,13,45,83,31,26,24,64,17,100,12,51,98,31,37,51,47,60,31,85,52,13,9,46,80,80,49,75,50,97,8,62,44,83,21,15,7,100,93,67,46,6,71,82,36,52,17,88,23,2,88,21,98,57,24,83,28,33,61,74,28,90,20,48,50,66,81,84,46,52,7,52,5,81,41,37,43,3,55,62,55,1,40,23,1,19,45,79,73,26,80,39,48,11,100,17,73,21,68,39,80,78,88,76,66,69,55,41,13,74,98,66,93,48,51,6,80,35,96,71,11
92,85,23,16,95,80,66,39,48,12,9,98,90,52,100,37,72,98,27,63,60,57,10,82,27,91,38,62,99,40,28,35,29,28,73,35,15,38,78,56,8,47,15,36,26,78,42,19,76,14,41,24,27,45,49,28,80,80,46,83,23,100,54,24,42,99,0,1,50,3,36,80,11,18,19,76,88,60,53,28,19,44,76,91,86,58,90,80,93,84,18,87,23,59,40,78,86,93,85,77,72,35,90,89,57,15,16,18,50,99,97,44,21,93,32,48,96,43,81,36,14,55,52,20,53,74,11,92,94,57,28,1,40,47,23,2,77,65,25,97,33,26,89,35,41,57,26,89,10,33,73,78,63,70,27,97,70,7,12,48,70,56,89,1,1,98,30,82,53,60,17,41,85,3,69,84,55,31,48,99,38,90,63,88,98,100,76,85,40,59,37,47,65,38,67,17,31,45,15,56
63,72,78,19,38,78,87,70,69,9,89,90,25,9,14,95,71,4,8,82,47,56,83,54,30,52,40,41,4,34,23,80,60,88,36,56,33,16,16,65,94,71,50,87,51,7,99,38,45,37,22,41,82,2,18,81,75,12,38,86,52,36,67,61,22,61,28,0,47,19,80,80,69,63,10,85,76,31,52,65,9,100,27,90,94,58,23,97,26,6,25,68,25,18,98,51,76,34,93,24,53,88,57,59,18,29,83,17,84,40,41,36,37,79,69,27,91,75,52,34,19,79,100,19,33,10,97,58,64,54,99,92,16,66,64,3,14,41,80,10,55,7,5,49,1,67,14,9,84,92,96,27,51,68,76,100,68,100,34,34,89,1,82,23,37,14,65,5,19,90,62,15,90,43,56,44,5,87,27,76,6,15,17,29,27,42,45,63,93,78,76,11,80,93,85,5,7,79,59,58
26,31,78,54,4,7,90,22,30,6,33,39,77,91,56,48,3,86,69,94,86,76,15,1,4,4,99,18,94,89,81,16,19,29,6,88,95,86,35,87,44,27,30,89,91,35,56,97,41,42,66,77,8,77,84,89,38,100,75,71,84,49,94,50,57,79,94,99,0,33,35,80,34,38,14,43,1,29,45,8,44,48,77,29,62,4,41,17,66,16,23,25,16,23,20,67,90,46,56,41,22,52,77,8,55,100,12,60,73,8,22,24,22,90,56,55,11,42,61,81,90,13,34,94,64,60,39,47,36,32,24,3,8,19,25,43,61,32,98,6,32,71,60,86,6,52,10,84,85,89,86,96,82,14,76,17,7,25,21,81,37,8,88,82,90,84,81,61,33,77,61,6,23,6,47,63,35,99,80,7,100,37,74,31,45,78,61,31,32,53,84,82,98,51,13,19,64,90,63,41
67,7,1,46,70,75,95,20,12,17,1,89,16,68,61,23,97,18,33,13,90,10,36,26,82,16,30,59,48,7,97,40,70,52,13,79,86,11,24,59,69,55,52,47,15,90,1,79,58,35,43,61,29,50,48,16,23,2,36,55,82,56,45,85,83,19,86,68,12,0,1,96,92,31,16,52,72,96,86,94,11,78,42,40,92,95,100,53,52,34,65,38,43,87,39,67,76,1,52,79,42,41,38,12,96,68,58,40,73,72,43,39,58,26,44,63,40,20,93,88,76,85,42,100,75,28,57,62,54,54,69,98,27,89,25,39,71,100,68,44,35,19,28,84,15,93,6,12,99,59,80,29,17,98,56,73,76,94,82,38,60,65,83,12,28,8,12,54,51,24,45,79,39,9,91,81,42,96,55,50,5,79,39,95,61,42,57,100,14,14,82,80,86,6,91,4,86,44,16,19
86,14,16,58,68,73,22,10,19,39,48,90,53,52,17,37,95,60,58,43,100,99,49,52,85,18,96,61,88,52,47,97,31,94,66,18,9,37,78,58,28,2,97,2,10,1,19,89,30,54,47,23,11,42,86,44,77,72,38,54,37,90,55,44,30,84,35,66,67,59,0,11,13,2,72,7,97,42,62,81,77,9,75,93,91,69,46,50,62,99,44,36,17,27,69,75,61,85,15,70,7,21,65,49,95,23,73,4,74,30,58,37,84,74,60,93,23,29,49,77,100,79,15,70,47,58,61,59,38,84,5,12,20,8,4,24,2,33,73,97,8,71,68,73,28,28,36,31,34,62,32,48,64,46,46,62,15,33,51,17,6,83,39,3,19,60,53,20,26,63,10,51,86,49,70,1,77,97,85,24,91,91,8,53,4,13,79,16,12,18,43,57,68,43,20,35,79,85,79,58
12,68,93,13,59,80,60,5,58,41,32,63,58,51,14,1,95,80,71,83,1,9,49,60,17,57,28,48,91,31,74,52,35,87,47,80,25,87,33,58,76,87,63,75,42,90,73,49,4,80,15,80,59,66,31,34,82,85,55,25,49,15,54,72,65,63,95,64,70,20,70,0,57,66,45,18,74,80,55,3,57,100,87,50,70,82,90,11,68,22,89,66,67,86,72,61,70,46,83,9,65,37,8,55,24,32,52,51,65,66,27,43,3,1,97,10,95,38,98,28,15,62,34,3,9,71,56,62,43,38,58,67,29,94,97,76,95,48,53,43,71,57,91,36,34,35,17,93,27,71,25,16,62,45,30,56,78,90,27,85,41,12,24,14,16,64,12,95,55,81,81,2,5,34,31,31,9,60,69,32,27,31,95,78,6,92,81,96,19,28,26,24,48,73,41,8,47,17,91,100
15,59,39,20,28,45,75,63,57,48,87,73,2,68,87,73,2,15,79,1,23,71,52,73,95,63,55,77,39,50,44,76,60,42,97,32,57,78,86,16,61,88,15,87,57,11,27,63,73,24,40,5,66,71,19,56,8,47,58,4,60,62,60,59,57,92,89,31,88,62,24,93,0,62,25,28,51,67,95,57,14,44,76,10,59,58,78,43,56,14,56,95,97,39,31,51,23,37,14,76,1,78,70,83,46,64,81,61,68,56,98,75,65,13,74,98,5,19,90,74,31,40,89,76,50,76,89,54,36,26,9,80,68,53,99,36,23,87,82,34,78,58,28,73,7,42,11,76,77,93,19,29,66,58,1,36,45,60,89,62,33,42,39,65,22,56,23,96,11,13,93,4,81,25,31,13,35,48,80,92,48,99,35,76,41,92,68,3,72,2,21,45,93,68,31,31,98,99,6,36
3,62,87,40,62,87,45,86,73,24,7,77,48,45,24,58,52,64,52,90,9,3,7,33,56,42,51,46,54,22,15,79,52,54,16,90,18,60,36,14,94,91,6,93,1,13,31,50,24,51,53,17,33,16,67,18,34,92,90,50,20,74,93,11,82,51,25,85,57,70,48,68,2,0,28,84,12,15,70,67,63,100,67,25,70,46,96,34,58,58,69,41,21,36,70,50,99,72,68,61,95,74,2,95,87,33,27,73,65,88,91,42,26,54,50,28,69,10,94,55,16,99,70,53,60,92,75,29,33,15,72,65,42,19,45,9,22,18,92,60,27,6,97,46,36,49,90,2,53,55,68,81,33,91,31,39,81,71,66,63,31,97,70,76,75,93,65,58,43,73,8,56,90,94,94,48,83,63,14,81,92,6,82,53,89,31,12,4,9,63,31,73,41,20,89,53,81,72,79,51
15,89,96,60,30,41,53,13,41,83,4,47,70,27,90,9,49,85,41,59,93,19,35,86,30,40,30,31,9,42,32,98,73,79,4,2,35,10,36,87,86,7,10,38,40,76,30,96,25,60,73,62,82,40,71,83,70,61,82,31,32,95,39,15,53,5,70,31,49,100,77,65,10,73,0,36,31,21,23,75,86,44,44,82,96,75,10,8,50,9,47,32,36,90,46,1,88,42,35,72,82,82,92,35,4,36,88,75,79,34,71,49,15,4,20,12,82,31,62,57,77,64,60,97,64,45,53,33,87,42,97,87,61,44,23,88,84,47,74,4,21,15,38,29,11,75,22,48,23,72,71,70,42,21,60,19,43,25,46,14,75,59,52,23,20,48,76,36,19,35,97,32,93,32,50,8,90,15,88,7,37,27,86,79,44,16,68,19,7,20,4,41,85,72,67,88,41,38,11,58
34,14,100,57,38,57,83,63,41,12,18,75,74,6,63,77,97,45,77,55,22,3,46,15,2,58,1,96,31,44,35,76,49,4,45,6,71,57,36,92,86,14,55,94,85,74,21,21,62,81,92,44,26,31,30,62,69,58,7,45,19,28,41,61,85,49,11,19,80,8,50,46,46,74,22,0,12,22,97,80,37,18,88,47,95,95,69,29,79,81,63,79,49,40,84,3,81,77,84,15,76,30,73,2,58,59,91,31,93,69,41,83,6,41,76,73,88,97,22,40,17,8,65,33,93,8,93,100,34,23,12,75,5,53,27,58,55,29,46,79,51,77,79,3,39,11,59,95,29,2,13,18,56,68,99,73,36,89,90,9,33,58,37,37,45,66,44,46,64,49,61,72,95,44,79,32,71,24,84,86,79,63,91,72,65,5,45,14,52,89,3,3,95,29,23,30,5,28,63,88
64,45,21,85,88,18,16,67,8,6,51,66,47,69,3,36,12,86,72,39,94,79,21,57,87,71,97,15,68,35,58,68,37,35,56,48,71,85,19,78,29,85,28,41,58,27,100,20,95,17,37,24,59,65,83,61,53,75,17,40,91,13,65,85,24,86,23,100,79,40,82,13,14,39,22,31,0,87,46,41,65,65,46,83,97,19,45,77,82,70,7,82,49,55,76,78,65,53,26,100,2,64,71,74,24,53,20,3,99,24,53,89,12,79,59,90,6,22,33,20,18,69,35,82,65,21,87,45,66,43,86,83,63,37,51,34,15,6,22,44,3,50,25,87,11,60,3,66,24,94,27,92,42,90,1,12,16,97,18,71,69,96,9,79,49,63,35,89,33,43,61,43,2,15,77,72,86,98,19,16,61,97,45,22,38,30,25,44,66,84,96,46,49,9,40,14,45,26,38,79
75,78,92,9,80,36,74,18,89,87,3,90,4,43,14,3,72,4,55,5,39,16,29,37,66,48,77,56,25,72,82,11,46,58,11,41,11,14,16,83,21,49,83,61,46,43,28,84,26,94,13,15,56,22,19,14,12,91,63,80,75,11,72,21,37,41,30,60,39,26,17,19,3,90,21,70,26,0,32,37,82,13,10,6,48,36,67,42,17,25,73,13,89,30,23,67,53,49,10,21,98,14,54,67,32,11,76,42,34,70,49,88,99,88,47,7,49,8,77,68,16,100,41,91,74,73,11,14,65,62,21,35,40,44,28,74,13,72,8,94,36,60,31,92,50,92,68,98,24,29,88,16,77,76,61,82,36,29,79,15,56,78,62,88,70,71,26,56,42,16,63,42,77,66,20,69,50,38,65,64,29,49,8,73,96,75,7,22,45,21,73,1,62,30,77,65,78,53,44,100
38,17,96,72,100,32,14,64,22,72,38,97,54,98,37,77,26,41,9,46,100,35,4,22,96,93,57,94,37,53,63,16,74,16,58,46,88,20,23,97,64,13,87,27,66,60,48,23,23,96,81,3,52,38,32,35,51,48,28,38,91,64,36,11,6,7,98,38,88,99,84,44,74,73,7,7,91,60,0,57,4,23,86,71,94,8,34,60,20,4,41,20,40,45,50,37,44,93,24,53,23,8,63,19,42,85,99,24,72,53,86,5,27,98,63,74,92,16,42,9,80,9,30,3,94,11,61,49,92,58,2,14,93,12,55,22,34,37,74,1,52,54,40,2,12,92,71,88,91,53,89,92,70,25,34,67,33,70,4,62,16,13,10,100,31,78,10,31,86,43,58,65,3,54,65,86,27,24,68,81,11,31,20,6,62,20,22,42,63,71,84,57,61,11,3,96,62,9,47,3
62,75,55,34,97,70,63,38,60,44,49,61,29,79,74,15,11,15,81,5,21,47,26,35,1,11,91,95,40,29,63,1,19,90,35,60,88,42,5,65,84,45,46,37,84,4,52,39,35,49,40,4,11,47,93,10,48,1,11,6,13,13,5,72,10,17,46,34,23,59,95,81,63,20,16,23,26,1,66,0,16,48,67,83,52,45,90,57,40,44,32,33,23,10,78,92,52,10,22,28,87,37,62,27,90,72,1,32,34,38,77,12,7,40,89,37,54,24,3,76,49,63,14,38,50,23,75,12,69,64,88,50,76,33,93,22,88,80,63,48,8,85,31,5,42,12,82,31,6,20,45,27,49,100,19,90,23,19,8,22,82,56,55,59,29,5,6,68,100,24,76,29,49,36,65,65,87,76,74,65,35,46,82,82,43,78,3,94,88,18,48,52,38,96,1,40,3,50,87,42
10,14,58,52,49,15,19,57,42,33,19,90,8,81,35,37,55,30,30,98,64,11,54,78,31,17,17,28,92,73,65,42,86,26,91,90,91,72,56,24,4,59,60,68,67,88,11,51,31,7,91,63,96,65,13,67,64,41,10,24,46,60,18,4,31,22,88,73,22,100,62,59,3,50,27,42,45,44,60,91,0,11,44,12,95,62,24,45,69,97,90,59,71,69,73,64,1,19,35,8,2,72,82,50,59,49,29,89,100,38,59,21,43,5,23,57,25,87,1,34,34,4,86,22,13,77,57,1,61,76,33,63,22,31,78,2,67,63,64,80,32,13,15,2,32,20,57,55,68,30,51,68,90,15,63,85,76,26,79,33,58,32,89,66,97,36,30,20,65,14,72,67,38,86,23,26,88,81,29,69,45,64,24,62,41,31,61,23,11,31,53,99,59,25,42,63,46,37,89,20
88,70,64,70,39,83,29,8,46,60,34,2,25,22,14,89,61,12,61,57,69,64,44,67,3,88,39,42,31,13,87,15,12,86,14,26,70,21,85,42,59,72,62,48,49,49,77,64,72,40,44,69,5,35,44,6,34,84,52,61,89,42,15,15,98,17,87,94,12,45,2,44,77,36,50,36,68,98,23,23,94,0,37,49,88,43,95,4,34,97,47,77,61,33,32,55,70,92,77,2,86,29,16,23,4,21,17,28,84,83,36,92,29,74,24,5,54,22,15,17,70,73,19,89,18,69,85,55,15,91,51,46,87,77,45,3,7,41,68,83,10,97,33,41,2,67,35,83,62,30,43,58,26,97,4,18,12,51,6,33,14,18,77,95,33,40,81,36,14,22,25,78,87,79,61,17,75,49,98,16,70,72,54,53,46,93,8,25,87,66,89,59,45,5,42,90,70,7,21,55
89,74,88,12,58,78,25,7,13,16,52,96,27,84,1,69,67,79,53,57,50,3,3,22,71,73,88,52,100,98,79,71,17,4,71,1,68,3,1,67,3,45,70,27,86,74,99,13,58,13,86,36,6,51,78,22,29,61,50,20,75,76,95,98,11,16,17,76,77,59,9,33,31,18,7,86,73,12,95,35,100,41,0,12,16,21,69,10,7,73,27,44,50,42,76,40,23,43,27,6,17,46,49,80,82,86,29,11,59,74,28,4,92,100,6,52,68,52,33,98,81,28,38,27,17,41,73,6,27,87,95,55,66,29,43,56,39,43,36,93,20,43,22,51,69,55,26,48,80,6,24,23,3,32,23,36,82,26,86,81,58,96,83,38,46,99,26,2,94,22,30,75,69,14,38,12,12,93,52,25,66,73,94,50,100,47,44,38,95,71,19,90,74,27,16,68,73,67,99,98
80,10,22,68,61,30,57,50,86,62,41,9,77,1,20,19,60,60,74,83,33,61,21,47,82,51,58,12,81,72,53,44,51,8,67,17,34,76,85,31,54,77,64,23,92,69,100,19,85,95,50,60,54,9,74,88,60,91,50,91,6,69,65,88,100,19,99,20,87,57,54,72,15,47,87,44,30,34,35,50,29,54,10,0,89,83,25,87,27,3,87,57,86,70,46,6,26,43,89,27,66,65,95,57,10,55,58,68,48,8,100,44,67,50,99,77,10,13,84,35,33,42,37,46,33,91,25,80,93,57,25,88,63,77,20,12,24,28,33,55,34,61,60,1,23,1,35,97,99,62,43,42,91,1,90,39,93,39,84,5,46,19,65,91,55,36,26,47,50,60,33,5,29,6,24,44,60,88,9,76,43,62,43,69,85,98,93,55,10,14,23,70,74,58,39,93,87,12,48,17
26,4,69,69,8,9,18,47,98,99,4,18,97,5,17,20,48,29,42,30,26,2,48,32,51,90,85,17,54,89,62,61,89,38,96,55,58,63,53,87,93,46,79,31,60,62,35,82,1,86,14,70,88,29,15,96,10,28,56,47,98,55,57,76,58,30,100,86,2,96,75,71,85,9,37,57,46,97,19,42,51,96,57,87,0,26,9,92,13,74,25,36,12,64,55,92,44,39,83,33,4,56,22,64,83,21,36,17,4,19,48,82,21,47,86,53,19,75,79,57,73,78,54,16,42,82,66,28,80,1,88,90,9,15,64,72,50,90,88,52,38,11,87,49,32,72,66,14,100,92,53,18,97,87,5,88,86,94,16,82,45,7,82,74,1,72,95,48,55,6,42,80,30,29,19,81,18,43,14,90,97,39,87,17,68,43,36,10,22,81,98,70,85,22,27,23,48,49,73,36
38,89,78,44,13,71,37,6,44,93,30,85,40,63,12,75,79,4,82,33,88,15,8,68,50,10,82,30,24,73,36,7,93,22,17,16,28,3,95,48,47,47,53,39,29,2,52,87,80,73,4,24,57,2,85,33,70,74,5,65,15,29,80,19,63,25,73,69,19,30,90,90,75,21,85,32,17,1,50,82,9,64,93,78,92,0,56,72,67,78,84,79,45,49,81,99,85,54,17,9,78,45,67,4,46,98,53,87,99,49,32,46,46,6,22,54,88,6,84,85,73,51,75,93,60,6,89,95,95,94,13,43,15,42,52,68,5,7,100,38,75,49,34,54,61,6,43,97,3,27,51,93,19,70,51,38,92,65,90,22,5,38,24,60,18,38,61,61,84,56,85,5,31,67,15,40,91,2,46,93,81,43,35,70,27,87,57,91,1,91,69,25,70,15,37,58,92,75,95,15
10,94,49,33,27,89,55,46,66,63,73,97,91,79,53,91,67,69,76,4,1,89,72,3,87,82,27,89,97,38,95,83,91,52,11,34,11,65,36,95,96,100,43,5,45,91,77,96,57,73,61,55,85,16,27,22,9,34,29,30,31,30,64,59,86,37,50,90,67,26,73,50,54,58,84,88,56,51,94,1,34,44,94,40,66,86,0,31,51,4,6,15,28,92,75,3,33,38,48,84,76,44,10,80,24,23,38,62,8,36,11,17,53,70,50,38,54,6,78,72,93,30,46,93,55,35,23,51,16,65,74,24,31,31,3,57,54,93,82,30,93,51,87,81,35,57,62,12,20,31,63,71,31,52,41,32,7,94,29,64,8,77,37,40,95,75,95,20,75,50,1,74,56,36,30,93,56,37,36,21,51,17,5,70,61,5,77,86,7,70,97,33,94,1,92,47,91,62,20,37
9,44,20,1,50,89,61,2,55,56,51,94,36,19,5,29,30,32,2,56,83,65,6,56,47,54,30,97,76,86,81,28,92,38,8,67,55,16,22,25,97,89,13,3,75,22,52,73,66,26,18,50,2,40,13,67,23,12,49,2,79,83,88,15,90,49,78,31,43,100,83,76,4,22,16,89,62,39,21,7,45,92,3,100,91,43,23,0,30,67,2,17,90,65,81,90,19,8,44,24,1,41,15,61,29,12,77,82,73,16,60,2,20,98,36,30,6,86,55,38,94,27,65,28,56,80,72,55,99,40,31,15,62,44,83,10,45,7,22,47,61,23,12,10,27,4,80,3,50,22,98,11,16,65,99,52,81,55,24,100,84,21,33,94,2,49,76,79,99,53,74,53,47,67,59,32,45,74,65,57,4,68,73,55,26,7,35,2,41,52,80,78,5,76,58,79,28,32,60,9
41,97,71,32,51,20,54,81,62,33,12,29,12,6,91,25,45,15,75,44,33,68,64,38,41,7,83,27,55,4,35,19,94,6,38,46,59,54,19,30,73,1,36,45,7,53,29,8,83,14,41,36,56,88,95,48,4,27,97,49,78,80,20,53,37,19,6,25,26,39,43,41,48,5,74,74,71,37,61,30,50,85,27,14,28,84,47,12,0,44,92,83,43,31,40,74,29,66,16,42,27,78,23,79,25,29,53,1,73,43,72,35,59,46,8,20,93,59,2,72,28,56,75,75,18,88,76,99,67,95,11,87,51,87,10,10,47,44,32,64,19,67,49,52,99,77,16,98,25,47,67,43,58,79,24,77,93,78,64,28,71,67,88,95,47,67,67,74,56,29,90,6,29,17,32,1,26,31,73,53,79,72,34,60,95,46,35,9,50,16,4,8,14,96,62,10,50,97,16,73
57,17,62,41,47,88,40,24,21,86,74,60,23,36,3,95,45,58,26,27,49,100,62,59,59,6,60,47,97,39,1,79,70,16,73,92,18,58,79,73,11,56,24,91,38,55,30,13,73,2,86,18,33,10,96,24,24,97,89,36,65,76,79,7,68,8,33,76,46,44,41,9,51,24,87,6,13,59,61,14,46,25,55,87,85,6,94,65,99,0,26,45,34,90,11,24,67,94,6,89,60,27,41,33,85,59,94,16,96,51,47,100,98,48,96,41,23,34,10,42,76,29,39,17,42,43,73,15,26,80,67,91,12,86,75,77,12,90,2,69,53,51,28,43,70,44,92,66,52,84,55,47,31,28,27,71,72,83,93,1,37,66,55,43,88,8,72,57,51,56,82,2,89,99,48,78,44,2,99,53,12,14,6,8,29,19,20,73,84,44,91,92,63,89,81,84,13,53,7,54
63,78,42,78,70,49,1,66,62,72,5,50,71,9,78,48,75,24,60,11,93,26,95,46,72,20,100,48,77,83,46,32,45,52,54,11,26,88,63,14,91,54,65,6,100,42,39,8,34,5,98,78,89,52,100,64,32,18,79,95,36,75,55,98,39,64,94,91,2,45,57,57,83,58,10,24,16,76,42,4,94,69,86,5,18,28,87,72,100,14,0,33,10,63,81,11,79,25,99,79,82,10,36,41,82,28,13,44,16,8,19,68,31,97,58,85,10,87,29,25,30,26,90,3,74,6,65,7,63,70,83,41,50,3,68,72,71,1,89,82,35,80,7,56,12,53,56,20,49,70,24,62,65,11,9,89,36,78,73,51,5,96,32,68,2,29,23,54,71,88,79,8,25,66,5,51,38,53,50,42,11,88,97,29,67,55,95,85,86,38,84,34,97,30,63,57,81,59,3,3
78,18,25,31,94,3,44,91,77,99,64,16,33,7,44,92,27,21,34,55,14,37,35,1,100,71,76,43,90,22,93,53,62,74,60,76,91,21,84,7,67,34,37,10,84,88,66,27,44,71,30,95,94,37,82,55,70,21,16,8,66,4,17,47,25,19,39,58,89,41,56,95,22,69,40,38,24,20,27,96,4,83,55,42,40,34,58,75,63,59,93,0,7,53,44,78,4,43,59,90,63,33,6,71,73,46,50,68,68,24,37,75,83,28,47,4,48,84,55,77,29,40,70,23,94,86,81,52,90,99,38,37,63,21,13,51,93,45,82,45,68,67,72,74,23,32,12,53,69,42,53,98,37,78,19,13,20,22,70,92,39,23,93,60,84,41,43,37,47,54,12,78,76,56,80,3,100,49,41,3,77,14,35,85,80,13,8,40,7,19,15,31,95,31,76,40,66,88,96,87
85,55,61,3,72,10,93,50,98,93,67,47,17,15,39,40,45,95,70,14,69,35,58,81,59,57,25,9,51,66,99,86,59,18,9,87,63,77,97,80,5,51,7,7,5,48,85,55,23,19,87,8,79,92,37,89,62,18,28,97,66,37,57,88,84,85,76,16,14,74,27,92,18,11,41,24,76,94,67,93,16,7,63,82,89,27,63,78,7,87,84,77,0,28,65,76,70,38,40,1,92,93,84,21,2,46,100,55,89,44,40,95,28,15,44,38,3,85,2,60,100,27,92,45,43,39,10,56,64,23,57,20,46,81,18,51,89,97,5,93,70,44,91,30,14,66,53,13,92,70,51,31,38,8,4,97,9,29,76,84,25,21,60,17,73,66,18,44,76,99,63,41,75,34,34,7,34,73,3,54,18,47,86,1,67,37,79,45,17,35,58,89,41,71,15,54,67,54,25,13
70,86,42,91,80,89,71,44,34,50,40,44,86,40,60,50,47,97,93,89,4,13,7,5,97,1,3,44,13,9,96,32,72,10,9,13,45,14,96,39,27,3,56,40,84,94,9,99,77,98,99,41,54,57,72,70,46,41,75,12,19,97,21,66,5,18,25,54,38,13,18,4,87,80,60,28,88,94,59,75,21,72,57,79,71,31,2,3,8,97,40,17,11,0,41,33,77,12,57,88,44,30,33,95,48,86,3,96,9,63,18,40,80,31,48,83,66,44,75,96,95,30,57,64,10,3,29,100,68,88,66,66,82,45,9,78,73,91,35,91,28,70,97,3,44,89,98,79,71,6,89,49,60,83,99,97,52,51,30,74,38,27,64,65,49,10,11,35,39,38,22,81,36,82,1,67,78,46,36,21,37,5,49,19,83,72,15,74,73,24,14,66,72,50,17,30,24,94,99,32
